Name,Timestamp,Date,Amount Raised,Round,Description,Lead Investor,Category,Source,Valuation,Chains,Other Investors
"Peerplays",1488067200,"2017-02-26",4000000,"Grant","Peerplays a peer-to-peer gaming and wagering platform designed to displace traditional sportsbooks and online casinos.","","Gaming","","","",""
"Storj",1487808000,"2017-02-23",3000000,"Seed","Decentralized storage","Google Ventures + Qualcomm Ventures + Techstars","Storage","https://www.coindesk.com/markets/2017/02/23/blockchain-startup-storj-targets-enterprise-cloud-with-3-million-raise/","","",""
"Bitbond",1487721600,"2017-02-22",1200000,"","Leading tokenization software","","","","","",""
"Melonport",1487462400,"2017-02-19",2900000,"ICO","Melonport builds multi-chain capable software for asset management.","","","","","",""
"Digital Catapult",1487289600,"2017-02-17",1365000,"Grant","Digital Catapult drives early adoption of advanced digital technologies to grow the countrys economy.","Department for Culture Media Sport","","","","",""
"Tezos",1487289600,"2017-02-17",10000000,"Seed","Tezos is an open-source smart contracts platform for assets and applications.","Kosmos Ventures","L1","","","Tezos",""
"ChronoBank",1487203200,"2017-02-16",5400000,"ICO","ChronoBank.io is an ambitious and wide-ranging blockchain project","","","","","",""
"BitFlyer",1487030400,"2017-02-14",1749000,"","BitFlyer is a bitcoin exchange and marketplace that enables its customers to buy, sell, and spend bitcoins.","","Centralized Exchange","","","","Dai-ichi Life + Mizuho Financial Group + Sumitomo Mitsui Financial Group"
"DFINITY",1487030400,"2017-02-14",3875000,"ICO","DFINITY reinvents the public internet as a global computer that hosts open internet services, secure software, and DeFi.","","L1","","","ICP","David J. Namdar"
"TeamKraft",1486684800,"2017-02-10",1000000,"Seed","Networking sports app - where recreational athletes team up & get rewarded to play the sports they love.","","","","","",""
"ChronoBank",1486512000,"2017-02-08",4000000,"Equity Crowdsale","ChronoBank.io is an ambitious and wide-ranging blockchain project","","","","","",""
"Bitcoin Vietnam",1485907200,"2017-02-01",1000000,"ICO","Bitcoin Vietnam is a crypto currency exchange company that provides Bitcoin vs Fiat conversion.","Bitcoin Vietnam + Thong Ngo","Centralized Exchange","","","",""
"Gold Bits Coin",1485907200,"2017-02-01",50000000,"ICO","Gold Bits Coin is a mode of payments for online shopping and at merchants for goods and services.GBC is the Modern Day Gold of this industry","","","","","",""
"SONM",1485907200,"2017-02-01",500000,"Pre-Seed","SONMs blockchain-based decentralized fog computing platform. ","","","","","",""
"OneOneDay",1485820800,"2017-01-31",1000000,"Seed","We are building the worlds largest advertising network, co-owned by every ad-viewer.","","","","","",""
"Cambridge Blockchain",1485820800,"2017-01-31",1790000,"Convertible note issuance","Cambridge Blockchain develops blockchain-based identity management and compliance software solutions for financial institutions.","","Digital Identity","","","","DCG + Hub Angels Investment Group + Partech + LaunchPad Venture + River Valley Investors"
"Bitfury Group",1485302400,"2017-01-25",30000000,"","Bitfury is the leading full service bitcoin and blockchain technology company.","Credit China FinTech Holdings","","","","",""
"CryptoMove",1484784000,"2017-01-19",1500000,"Seed","CryptoMove is a software platform that provides a secure distributed datastore for keys, files, streaming video, or any other type of data.","","Infrastructure","","","","408 Ventures + Draper Associates + Alchemist Accelerator + Jeffery Brown"
"Neufund",1484611200,"2017-01-17",2250000,"Seed","Neufund is a fintech startup that connects innovative companies seeking capital with progressive investors.","","","","","","Atlantic Labs + Freigeist Capital + Klaas Kersting"
"AlphaPoint",1484352000,"2017-01-14",1000000,"","AlphaPoint is a white-label software company powering crypto exchanges worldwide.","","","","","",""
"QTUM",1484092800,"2017-01-11",1000000,"ICO","Bitcoin-Ethereum Hybrid","Anthony Di Iorio + Star Xu + Xiaolai Li + Bo Shen","Smart Contract Platform","https://www.coindesk.com/markets/2017/01/11/blockchain-angels-invest-1-million-in-bitcoin-ethereum-hybrid-qtum/","","",""
"OneName",1483574400,"2017-01-05",4000000,"","Onename is a registrar (like GoDaddy) for the .id namespace on the Blockstack network.","","","","","","Compound + DCG + Kal Vepuri + Naval Ravikant + Lux Capital + Rising Tide + Union Square Ventures + Version One Ventures"
"Bitstamp",1483574400,"2017-01-05",2400000,"Equity Crowdsale","Bitstamp allows companies and individuals from all around the world to buy and sell bitcoin, litecoin, ethereum, ripple, and bitcoin cash.","","Centralized Exchange","","","","Gabriel Jarrosson"
"Stacks",1483574400,"2017-01-05",4000000,"Series A","Stacks is an app development company which builds bitcoin app, smart contracts, and digital assets.","","L1","","","Stacks","Compound + DCG + Fantail Ventures + Kal Vepuri + Lux Capital + Naval Ravikant + Union Square Ventures + Version One Ventures + Rising Tide"
"Ripio",1483401600,"2017-01-03",1900000,"Series A","Ripio is a bitcoin and digital payments company that provides electronic payment solutions for businesses in Latin America.","","DeFi","","","","Boost VC + DCG + Digital Finance Group + Draper Associates + Fenbushi Capital + The Whittemore Collection"
"Bitcoin.org",1483315200,"2017-01-02",1000000,"Seed","Bitcoin.org is an informational site dedicated to help educate and facilitate the understanding of bitcoin and how to buy it.","Winklevoss Capital","","","","",""
"InXero",1483315200,"2017-01-02",1090000,"Convertible note issuance","InXero is the industrys first Go-to-Market automation platform for partners","","","","","",""
"BOSONIC",1483228800,"2017-01-01",10600000,"Series B","BOSONIC is a Fintech platform that eliminates counterparty credit and settlement risk in digital assets trading.","","","","","",""
"RE Solutions",1483228800,"2017-01-01",1500000,"Angel Round","Blockchain Technologies for Real Estate","","","","","","Jack Berube"
"Golden Technology",1483228800,"2017-01-01",1710000,"Angel Round","Golden Technology is a big data service company offering electronic invoice solutions using blockchain technology.","","","","","",""
"Quantum Resistant Ledger",1483228800,"2017-01-01",2000000,"Angel Round","The Quantum Resistant Ledger (QRL) is a first blockchain of its kind and a future-proof post quantum value store.","","","","","","Elizabeth Hunker"
"Drip Capital",1483228800,"2017-01-01",5000000,"Seed","Drip Capital offers trade financing product targeted towards SMEs in developing markets.","","","","","","Abstract Ventures + Accel + Caffeinated Capital + Initialized Capital + Liquid 2 Ventures + Wing Venture Capital + Y Combinator"
"Uphold",1483228800,"2017-01-01",2600000,"Seed","Upholds technology enables individuals and businesses to invest, exchange, spend and transfer currencies, commodities, equities, and more.","","","","","",""
"PublicVine",1483142400,"2016-12-31",1385000,"Seed","Ledger Payments & Streaming Video","","","","","",""
"Cynny",1482969600,"2016-12-29",1578000,"","Cynny develops MorphCast, a new adaptive video format that delivers face recognition in a smartphone without the need for an app or plugin.","","","","","",""
"TradeBlock",1482796800,"2016-12-27",17545000,"","TradeBlock is the world's leading provider of institutional trading tools for digital currencies.","","Trading","","","",""
"CAMPFIRE",1482710400,"2016-12-26",2814000,"Series A","CAMPFIRE engages in the planning, development, and operation of a crowd funding platform.","","","","","","D4V + DeNA + East Ventures + FreakOut Holdings + GMO Internet + iSGS Investment Works + Mamoru Taniya + SEPTENI HOLDINGS Japan + Suneight Investment"
"1World Online",1482364800,"2016-12-22",3000000,"Series A","1World Online is a blockchain-powered platform that unifies the values of data and advertising into an all-in-one engagement driven model.","AltaIR Capital + Brand Capital","","","","",""
"Futurism",1482105600,"2016-12-19",6000000,"","Futurism develops a digital media platform that curates the technological innovations that will shape the future.","","","","","",""
"Gingkoo",1481846400,"2016-12-16",20136000,"Post-IPO Equity","Gingkoo provides customized blockchain technology services for banks, insurance and securities companies & other financial institutions.","","","","","","Xingzao Ziben + Zhongnan Jianshe"
"Wyre",1481846400,"2016-12-16",5800000,"Series A","Wyre is a crypto and payment infrastructure company that develops a variety of payment APIs.","","Payments","","","","9F Group + Amphora Capital + Baofu + DCG + Draper Associates + Seabed VC"
"Hanhaa",1481760000,"2016-12-15",1863000,"","A full service MNO supplying private 4G/5G connectivity globally / A leader in supply chain analytics with our ParceLive platform.","","","","","",""
"OB1",1481673600,"2016-12-14",3000000,"Seed","OB1 is a developer of a peer-to-peer trading platform used to offer a cryptocurrency marketplace.","","","","","",""
"OpenBazaar",1481587200,"2016-12-13",3000000,"","OpenBazaar is a decentralized cryptocurrency marketplace that enables its users to trade online.","a16z + Union Square Ventures + BlueYard Capital","Trading","","","",""
"Numerai",1481500800,"2016-12-12",6000000,"Series A","Numerai transforms and regularizes financial data into machine learning problems for global network of data scientists.","","","","","","Eric Ver Ploeg + First Round Capital + Fred Ehrsam + Kenneth Ballenegger + Union Square Ventures"
"Polychain",1481414400,"2016-12-11",10000000,"Seed","Polychain Capital is the world's premier investor in cryptocurrency protocols and companies","","","","","","Abstract Ventures + Alexander Pack + a16z + DCM Ventures + Cameron McLain + DHVC + Pantera Capital + Union Square Ventures"
"Bitinka",1481328000,"2016-12-10",1250000,"Seed","BitInka/InkaPay is to implement Bitcoin on daily finances... To bring Blockchain technology to mainstream.","","","","","",""
"Edge",1481328000,"2016-12-10",900000,"Convertible note issuance","Edge is a complete self custody solution that allows users to buy, sell, and trade cryptocurrencies.","","","","","",""
"HedgeGuard",1480636800,"2016-12-02",4800000,"","HedgeGuard provides Crypto portfolio management software and middle office services to help you launch and grow your crypto funds.","Leap Ventures","","","","",""
"TiENPAY",1480550400,"2016-12-01",500000,"Seed","TiENPAY is a blockchain based digital banking ecosystem software platform for wallet, digital exchange and digital assets.","","","","","",""
"Geenee AR",1480550400,"2016-12-01",4400000,"Seed","Geenee is a low-code WebAR SaaS platform producing interactive NFTs, Games and eCommerce products that amplify human abilities.","","","","","","Highlight Communications AG + Sport1 Medien AG + Stephen Cohen + Steve Titus"
"DigitalX",1480291200,"2016-11-28",1600000,"Post-IPO Equity","DigitalX is an Australia-based software solutions company developing products and services.","","","","","",""
"PROFICIO",1480204800,"2016-11-27",12000000,"Series A","Proficio is an award wining cyber security service provider helping customers detect and prevent security breaches.","Kayne Partners","Cybersecurity","","","",""
"WAVE BL",1480204800,"2016-11-27",1750000,"Seed","Digital Document Courier","","","","","","Agilic Capital + Blockchain Capital + Bossanova Investimentos + E-Merge + Techstars"
"Golem Factory GmbH",1479686400,"2016-11-21",8600000,"Equity Crowdsale","Rent your unused CPU/GPU cycles and get paid in cryptocurrency.","","","https://cointelegraph.com/news/golem-described-as-supercomputer-announces-crowdsale-opportunity-to-earn-money","","",""
"PeerNova",1479340800,"2016-11-17",4000000,"Series B","PeerNova's mission is to empower firms to make confident and timely decisions using high-quality data.","Zhejiang Zhongnan Holding Group","","","","",""
"Bitmark",1479340800,"2016-11-17",1700000,"Seed","Bitmark is an end-to-end Internet protocol that secures data provenance.","Cherubic Ventures + DCG + WI Harper Group","","","","",""
"Fanpage",1479254400,"2016-11-16",3000000,"","The boutique NFT platform bringing the metaverse to the masses - easy to buy(cc), easy to sell(OpenSea), and where Creators make more money.","iHeartMedia + Mike Whelan + Townsquare Media","NFT","","","",""
